Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
PowerOfEvil,,MID,18,27.80%,3.2,2.5,2.5,5.6,8.9,402,74.30%,29.1,503,1.04,0.42,0.21,0.14,70,-2,1,38.90%,11.10%,0,5
Pridestalkr,,JUNGLE,19,47.40%,4.3,2.6,1.9,5.8,6.5,365,73.70%,16.4,318,1.17,0.35,0.27,0.3,429,11,427,21.10%,10.50%,0,1
Prismal,,ADC,1,0%,2,1,2,3,7.9,367,66.70%,24.5,390,0.69,0.37,0.23,0.14,-2698,-25,-1357,0%,0%,0,-
Revenge,,TOP,18,27.80%,1.9,2.2,2.9,3.2,8.4,389,52.70%,27.3,482,0.96,0.41,0.13,0.17,-103,1,0,11.10%,11.10%,0,4
River,,JUNGLE,18,44.40%,3.6,1.7,2.2,6.1,5.3,315,71.30%,12.3,201,1.36,0.34,0.34,0.28,-244,-8,-285,38.90%,5.60%,0,2
RoseThorn,,JUNGLE,1,0%,1,3,5,2,5.6,326,83.30%,17.4,276,1.06,0.23,0.37,0.28,214,9,729,0%,0%,0,-
Santorin,,JUNGLE,18,77.80%,6.1,3.7,1.7,6.9,5.7,353,69.80%,14.8,296,1.68,0.32,0.53,0.36,96,1,-13,38.90%,11.10%,0,-
Shenyi,,SUPPORT,13,30.80%,1.8,0.7,4.7,7.8,1,230,65.60%,6.7,131,2.66,1.42,0.37,0.4,-135,-1,-226,46.20%,0%,0,-
Spica,,JUNGLE,18,27.80%,2.7,2.6,3.3,6.3,5.3,332,73.10%,13.7,261,1.36,0.41,0.34,0.34,-201,-6,-316,33.30%,22.20%,0,4
Summit,,TOP,18,72.20%,2.5,3.5,3.2,4.4,9,446,58.10%,30.6,584,1.17,0.32,0.32,0.17,937,21,784,16.70%,16.70%,0,14
Tactical,,ADC,18,27.80%,2.6,4.2,3.1,3.8,9.2,435,70.60%,31,565,1.14,0.49,0.3,0.18,-116,-1,-31,33.30%,0%,0,1
Takeover,,MID,9,44.40%,3.7,2.3,2.2,5.8,9.2,406,63.50%,19.9,369,1.07,0.37,0.19,0.2,-102,9,311,22.20%,22.20%,0,1
Toucouille,,MID,20,50%,4,2.5,2,5.3,8.5,389,66.20%,30.6,489,1.02,0.49,0.14,0.17,-19,3,83,5%,10%,0,2
Triple,,MID,1,0%,1.3,2,4,3,8.1,365,83.30%,27.8,443,0.83,0.46,0.18,0.09,-950,-1,-400,0%,100%,0,-
Vulcan,,SUPPORT,19,52.60%,3,0.4,2.7,7.7,1.1,227,63.60%,6.2,110,2.92,1.69,0.39,0.59,3,3,-21,31.60%,0%,0,-
WildTurtle,,ADC,8,37.50%,3.1,3.4,2.4,3.9,8.8,406,65.80%,23.4,438,1.31,0.41,0.4,0.15,-394,-14,6,25%,12.50%,0,-
Winsome,,SUPPORT,18,72.20%,3.7,0.8,2.4,8.2,1,240,68.10%,5.2,100,2.9,1.67,0.4,0.42,-20,-2,-183,22.20%,11.10%,0,-
Xerxe,,JUNGLE,17,29.40%,2.2,2.3,3.1,4.6,5.7,329,63.60%,14.3,254,1.43,0.39,0.37,0.33,77,0,-33,47.10%,5.90%,0,3
Yursan,,SUPPORT,5,20%,1.8,0.4,3.4,5.8,1.1,219,71.50%,7.8,114,3.02,2.4,0.39,0.82,-291,4,-62,0%,20%,0,1
jojopyun,,MID,19,52.60%,3.1,2.6,2.5,5.1,8.6,395,57.70%,25,445,0.99,0.35,0.17,0.15,381,8,140,42.10%,10.50%,0,5
ssumday,,TOP,18,66.70%,5.3,3.3,1.7,5.5,8.8,421,58.10%,22.3,446,1.29,0.38,0.27,0.14,110,3,273,38.90%,11.10%,0,8
